ID;Properties;Numeric ID;Pre-flattening ID;Added in Version;Fallback
air;;0;air;;
stone;;1;stone;;
granite;;1:1;stone;1.8;stone
polished_granite;;1:2;stone;1.8;stone
diorite;;1:3;stone;1.8;stone
polished_diorite;;1:4;stone;1.8;stone
andesite;;1:5;stone;1.8;stone
polished_andesite;;1:6;stone;1.8;stone
grass_block;;2;grass;;
dirt;;3;dirt;;
coarse_dirt;;3:1;dirt;1.8;dirt
podzol;;3:2;dirt;1.7;dirt
cobblestone;;4;cobblestone;;
oak_planks;;5;planks;;
spruce_planks;;5:1;planks;1.2.4;oak_planks
birch_planks;;5:2;planks;1.2.4;oak_planks
jungle_planks;;5:3;planks;1.2.4;oak_planks
acacia_planks;;5:4;planks;1.7.1;oak_planks
dark_oak_planks;;5:5;planks;1.7.1;oak_planks
oak_sapling;;6;sapling;;
spruce_sapling;;6:1;sapling;b1.5;oak_sapling
birch_sapling;;6:2;sapling;b1.5;oak_sapling
jungle_sapling;;6:3;sapling;1.2.1;oak_sapling
acacia_sapling;;6:4;sapling;1.7;oak_sapling
dark_oak_sapling;;6:5;sapling;1.7;oak_sapling
bedrock;;7;bedrock;;
flowing_water;;8;flowing_water;;
water;;9;water;;
flowing_lava;;10;flowing_lava;;
lava;;11;lava;;
sand;;12;sand;;
red_sand;;12:1;sand;1.7;sand
gravel;;13;gravel;;
gold_ore;;14;gold_ore;;
iron_ore;;15;iron_ore;;
coal_ore;;16;coal_ore;;
oak_log;?axis=y;17;log;;
oak_log;axis=x;17:4;log;1.3.1;oak_log
oak_log;axis=z;17:8;log;1.3.1;oak_log
oak_wood;;17:12;log;1.3.1;oak_log
spruce_log;?axis=y;17:1;log;b1.2;oak_log
spruce_log;axis=x;17:5;log;1.3.1;spruce_log
spruce_log;axis=z;17:9;log;1.3.1;spruce_log
spruce_wood;;17:13;log;1.3.1;spruce_log
birch_log;?axis=y;17:2;log;b1.2;oak_log
birch_log;axis=x;17:6;log;1.3.1;birch_log
birch_log;axis=z;17:10;log;1.3.1;birch_log
birch_wood;;17:14;log;1.3.1;birch_log
jungle_log;?axis=y;17:3;log;1.2.1;oak_log
jungle_log;axis=x;17:7;log;1.3.1;jungle_log
jungle_log;axis=z;17:11;log;1.3.1;jungle_log
jungle_wood;;17:15;log;1.3.1;jungle_log
oak_leaves;;18;leaves;;
spruce_leaves;;18:1;leaves;b1.2;oak_leaves
birch_leaves;;18:2;leaves;b1.2;oak_leaves
jungle_leaves;;18:3;leaves;1.2.1;oak_leaves
sponge;;19;sponge;;
wet_sponge;;19:1;sponge;1.8;sponge
glass;;20;glass;;
lapis_ore;;21;lapis_ore;b1.2;stone
lapis_block;;22;lapis_block;b1.2;stone
dispenser;;23;dispenser;b1.2;stone
sandstone;;24;sandstone;b1.2;stone
chiseled_sandstone;;24:1;sandstone;1.2.4;sandstone
cut_sandstone;;24:2;sandstone;1.2.4;sandstone
note_block;;25;noteblock;b1.2;
red_bed;;26;bed;b1.3;
rail;;66;rail;;
powered_rail;;27;golden_rail;b1.5;rail
detector_rail;;28;detector_rail;b1.5;rail
sticky_piston;;29;sticky_piston;b1.7;piston
cobweb;;30;web;b1.5;
! shrub;;31;tallgrass;b1.6;
grass;;31:1;tallgrass;b1.6;
fern;;31:2;tallgrass;b1.6;
dead_bush;;32;deadbush;b1.6;
piston;;33;piston;b1.7;
piston_head;;34;piston_head;b1.7;
*_wool;;35:*;wool;;
dandelion;;37;yellow_flower;;
poppy;;38;red_flower;;
blue_orchid;;38:1;red_flower;1.7;dandelion
allium;;38:2;red_flower;1.7;dandelion
azure_bluet;;38:3;red_flower;1.7;dandelion
red_tulip;;38:4;red_flower;1.7;poppy
orange_tulip;;38:5;red_flower;1.7;poppy
white_tulip;;38:6;red_flower;1.7;poppy
pink_tulip;;38:7;red_flower;1.7;poppy
oxeye_daisy;;38:8;red_flower;1.7;dandelion
brown_mushroom;;39;brown_mushroom;;
red_mushroom;;40;red_mushroom;;
gold_block;;41;gold_block;;
iron_block;;42;iron_block;;
stone_slab;double=true;43;double_stone_slab;;
smooth_stone;;;;;
#double slabs;;;;;
smooth_stone_slab;;44;stone_slab;;
sandstone_slab;;44:1;stone_slab;b1.3;smooth_stone_slab
petrified_oak_slab;;44:2;stone_slab;b1.3;smooth_stone_slab
cobblestone_slab;;44:3;stone_slab;b1.3;smooth_stone_slab
brick_slab;;44:4;stone_slab;b1.8;smooth_stone_slab
stone_brick_slab;;44:5;stone_slab;b1.8;smooth_stone_slab
nether_brick_slab;;44:6;stone_slab;1.4.6;brick_slab
quartz_slab;;44:7;stone_slab;1.5;smooth_stone_slab
bricks;;45;brick_block;;
tnt;;46;tnt;;
bookshelf;;47;bookshelf;;
mossy_cobblestone;;48;mossy_cobblestone;;
obsidian;;49;obsidian;;
torch;;50;torch;;
wall_torch;facing={facing};50:1..4;torch;;
fire;;51;fire;;
spawner;;52;mob_spawner;;
oak_stairs;;53;oak_stairs;;
chest;;54;chest;;
redstone_wire;;55;redstone_wire;a1.0.1;
diamond_ore;;56;diamond_ore;;
diamond_block;;57;diamond_block;;
crafting_table;;58;crafting_table;;
wheat;;59;wheat;;
farmland;;60;farmland;;
furnace;;61;furnace;;
furnace;lit=true;62;lit_furnace;;furnace
oak_sign;;63;standing_sign;;
oak_door;;64;wooden_door;;
ladder;;65;ladder;;
cobblestone_stairs;;67;stone_stairs;;
oak_wall_sign;;68;wall_sign;;
lever;;69;lever;a1.0.1;
stone_pressure_plate;;70;stone_pressure_plate;a1.0.1;
iron_door;;71;iron_door;a1.0.1;
oak_pressure_plate;;72;wooden_pressure_plate;a1.0.1;
redstone_ore;;73;redstone_ore;a1.0.1;
redstone_ore;lit=true;74;lit_redstone_ore;a1.0.1;
redstone_torch;lit=false;75;unlit_redstone_torch;a1.0.1;
redstone_torch;;76;redstone_torch;a1.0.1;
redstone_wall_torch;facing={facing},lit=false;75:1..4;unlit_redstone_torch;a1.0.1;
redstone_wall_torch;facing={facing};76:1..4;redstone_torch;a1.0.1;
stone_button;;77;stone_button;a1.0.1;
snow;;78;snow_layer;a1.0.4;
ice;;79;ice;a1.0.4;water
snow_block;;80;snow;a1.0.4;
cactus;;81;cactus;a1.0.6;
clay;;82;clay;a1.0.11;dirt
sugar_cane;;83;reeds;a1.0.11;
jukebox;;84;jukebox;a1.0.14;
oak_fence;;85;fence;a1.0.17;
carved_pumpkin;;86;pumpkin;a1.2.0;oak_log
netherrack;;87;netherrack;a1.2.0;cobblestone
soul_sand;;88;soul_sand;a1.2.0;dirt
glowstone;;89;glowstone;a1.2.0;
nether_portal;;90;portal;a1.2.0;
jack_o_lantern;;91;lit_pumpkin;a1.2.0;oak_log
cake;;92;cake;b1.2;
repeater;;93;unpowered_repeater;b1.3;stone_pressure_plate
repeater;powered=true;94;powered_repeater;b1.3;stone_pressure_plate
*_stained_glass;;95;stained_glass;1.7;glass
oak_trapdoor;;96;trapdoor;b1.6;
infested_stone;;97;monster_egg;b1.8;stone
infested_cobblestone;;97:1;monster_egg;b1.8;cobblestone
infested_stone_bricks;;97:2;monster_egg;b1.8;stone_bricks
infested_mossy_stone_bricks;;97:3;monster_egg;1.7;mossy_stone_bricks
infested_cracked_stone_bricks;;97:4;monster_egg;1.7;cracked_stone_bricks
infested_chiseled_stone_bricks;;97:5;monster_egg;1.7;chiseled_stone_bricks
stone_bricks;;98;stonebrick;b1.8;cobblestone
mossy_stone_bricks;;98:1;stonebrick;b1.8;mossy_cobblestone
cracked_stone_bricks;;98:2;stonebrick;b1.8;cobblestone
chiseled_stone_bricks;;98:3;stonebrick;1.2;stone_bricks
brown_mushroom_block;;99;brown_mushroom_block;b1.8;
red_mushroom_block;;100;red_mushroom_block;b1.8;
mushroom_stem;;99:10;brown_mushroom_block;1.13;brown_mushroom_block
iron_bars;;101;iron_bars;b1.8;oak_fence
glass_pane;;102;glass_pane;b1.8;glass
melon;;103;melon_block;b1.8;carved_pumpkin
pumpkin_stem;;104;pumpkin_stem;b1.8;
melon_stem;;105;melon_stem;b1.8;
vine;;106;vine;b1.8;
oak_fence_gate;;107;fence_gate;b1.8;
brick_stairs;;108;brick_stairs;b1.8;cobblestone_stairs
stone_brick_stairs;;109;stone_brick_stairs;b1.8;cobblestone_stairs
mycelium;;110;mycelium;1.0.0;grass_block
lily_pad;;111;waterlily;1.0.0;
nether_bricks;;112;nether_brick;1.0.0;bricks
nether_brick_fence;;113;nether_brick_fence;1.0.0;oak_fence
nether_brick_stairs;;114;nether_brick_stairs;1.0.0;brick_stairs
nether_wart;;115;nether_wart;1.0.0;
enchanting_table;;116;enchanting_table;1.0.0;obsidian
brewing_stand;;117;brewing_stand;1.0.0;oak_fence
cauldron;;118;cauldron;1.0.0;iron_block
end_portal;;119;end_portal;1.0.0;
end_portal_frame;;120;end_portal_frame;1.0.0;smooth_stone
end_stone;;121;end_stone;1.0.0;cobblestone
dragon_egg;;122;dragon_egg;1.0.0;diamond_block
redstone_lamp;;123;redstone_lamp;1.2.1;glowstone
redstone_lamp;lit=true;124;lit_redstone_lamp;1.2.1;glowstone
oak_slab;double=true;125;double_wooden_slab;1.3.1;43:2
spruce_slab;double=true;125:1;double_wooden_slab;1.3.1;43:2
birch_slab;double=true;125:2;double_wooden_slab;1.3.1;43:2
jungle_slab;double=true;125:3;double_wooden_slab;1.3.1;43:2
acacia_slab;double=true;125:4;double_wooden_slab;1.7;oak_slab[double=true]
dark_oak_slab;double=true;125:5;double_wooden_slab;1.7;spruce_slab[double=true]
oak_slab;;126;wooden_slab;1.3.1;44:2
spruce_slab;;126:1;wooden_slab;1.3.1;44:2
birch_slab;;126:2;wooden_slab;1.3.1;44:2
jungle_slab;;126:3;wooden_slab;1.3.1;44:2
acacia_slab;;126:4;wooden_slab;1.7;oak_slab
dark_oak_slab;;126:5;wooden_slab;1.7;spruce_slab
cocoa;;127;cocoa;1.3.1;
sandstone_stairs;;128;sandstone_stairs;1.3.1;cobblestone_stairs
emerald_ore;;129;emerald_ore;1.3.1;diamond_ore
ender_chest;;130;ender_chest;1.3.1;chest
tripwire_hook;;131;tripwire_hook;1.3.1;
tripwire;;132;tripwire;1.3.1;
