sep=;
ID;Numeric ID;Pre-flattening ID;Pre-1.18 ID;Added in Version;Fallback
ocean;0;;;;
plains;1;;;;
desert;2;;;;
windswept_hills;3;extreme_hills;mountains;;
forest;4;;;;
taiga;5;;;;
swamp;6;;;;
river;7;;;;
nether_wastes;8;;;;
the_end;9;;;;
frozen_ocean;10;;;;ocean
frozen_river;11;;;;river
snowy_tundra;12;;;;plains
snowy_mountains;13;;;;windswept_hills
mushroom_fields;14;;;;plains
mushroom_field_shore;15;;;;plains
beach;16;;;;ocean
desert_hills;17;;;;desert
wooded_hills;18;;;;forest
taiga_hills;19;;;;taiga
mountain_edge;20;;;;windswept_hills
jungle;21;;;1.2.1;forest
jungle_hills;22;;;1.2.1;forest
sparse_jungle;23;jungle_edge;;1.2.1;forest
deep_ocean;24;;;;ocean
stony_shore;25;stone_beach;stone_shore;1.7.2;beach
snowy_beach;26;;cold_beach;1.7.2;beach
birch_forest;27;;;1.7.2;forest
birch_forest_hills;28;;;1.7.2;forest
dark_forest;29;roofed_forest;;1.7.2;forest
snowy_taiga;30;taiga_cold;;1.7.2;taiga
snowy_taiga_hills;31;taiga_cold_hills;;1.7.2;taiga
old_growth_spruce_taiga;32;mutated_redwood_taiga;giant_spruce_taiga;1.7.2;taiga
old_growth_pine_taiga;33;redwood_taiga;giant_tree_taiga;1.7.2;taiga
windswept_forest;34;extreme_hills_with_trees;wooded_mountains;1.7.2;mountains
savanna;35;;;1.7.2;plains
savanna_plateau;36;savannna_rock;;1.7.2;plains
badlands;37;mesa;;1.7.2;desert
wooded_badlands;38;mesa_rock;wooded_badlands_plateau;1.7.2;forest
badlands_plateau;39;mesa_clear_rock;;1.7.2;desert
small_end_islands;40;;;;the_end
end_midlands;41;;;;the_end
end_highlands;42;;;;the_end
end_barrens;43;;;;the_end
warm_ocean;44;;;;ocean
lukewarm_ocean;45;;;;ocean
cold_ocean;46;;;;ocean
deep_warm_ocean;47;;;;ocean
deep_lukewarm_ocean;48;;;;ocean
deep_cold_ocean;49;;;;ocean
deep_frozen_ocean;50;;;;frozen_ocean
the_void;127;;;;the_end
sunflower_plains;129;;;;plains
desert_lakes;130;;;;desert
gravelly_mountains;131;;;;mountains
flower_forest;132;;;;forest
taiga_mountains;133;;;;mountains
swamp_hills;134;;;;swamp
ice_spikes;140;;;;snowy_tundra
modified_jungle;149;;;;jungle
modified_jungle_edge;151;;;;jungle_edge
tall_birch_forest;155;;;;birch_forest
tall_birch_hills;156;;;;birch_forest
dark_forest_hills;157;;;;dark_forest
snowy_taiga_mountains;158;;;;snowy_taiga
giant_spruce_taiga_hills;161;;;;taiga
modified_gravelly_mountains;162;;;;gravelly_mountains
shattered_savanna;163;;;;savanna
shattered_savanna_plateau;164;;;;savanna_plateau
eroded_badlands;165;;;;badlands
modified_wooded_badlands_plateau;166;;;;wooded_badlands
modified_badlands_plateau;167;;;;badlands_plateau
bamboo_jungle;168;;;;jungle
bamboo_jungle_hills;169;;;;jungle_hills
soul_sand_valley;170;;;;nether_wastes
crimson_forest;171;;;;nether_wastes
warped_forest;172;;;;nether_wastes
basalt_deltas;173;;;;nether_wastes
dripstone_caves;174;;;;plains
lush_caves;175;;;;plains
deep_dark;;;;;plains
meadow;;;;;plains
old_growth_birch_forest;;;;;birch_forest
windswept_gravelly_hills;;;;;gravelly_mountains
snowy_plains;;;;;snowy_tundra
snowy_slopes;;;;;snowy_mountains
stony_peaks;;;;;mountains
frozen_peaks;;;;;snowy_mountains
grove;;;;;forest
jagged_peaks;;;;;mountains
windswept_savanna;;;;;savanna
mangrove_swamp;;;;;swamp
cherry_grove;;;;;forest
