sep=;
ID;Numeric ID;Pre-flattening ID;Added in Version;Fallback
iron_shovel;256;;;
iron_pickaxe;257;;;
iron_axe;258;;;
flint_and_steel;259;;;
apple;260;;;
bow;261;;;
arrow;262;;;
coal;263;;;
charcoal;263:1;;;
diamond;264;;;
iron_ingot;265;;;
gold_ingot;266;;;
iron_sword;267;;;
wooden_sword;268;;;
wooden_shovel;269;;;
wooden_pickaxe;270;;;
wooden_axe;271;;;
stone_sword;272;;;
stone_shovel;273;;;
stone_pickaxe;274;;;
stone_axe;275;;;
diamond_sword;276;;;
diamond_shovel;277;;;
diamond_pickaxe;278;;;
diamond_axe;279;;;
stick;280;;;
bowl;281;;;
mushroom_stew;282;;;
golden_sword;283;;;
golden_shovel;284;;;
golden_pickaxe;285;;;
golden_axe;286;;;
string;287;;;
feather;288;;;
gunpowder;289;;;
wooden_hoe;290;;;
stone_hoe;291;;;
iron_hoe;292;;;
diamond_hoe;293;;;
golden_how;294;;;
wheat_seeds;295;seeds;;
wheat;296;;;
bread;297;;;
leather_helmet;298;;;
leather_chestplate;299;;;
leather_leggings;300;;;
leather_boots;301;;;
chainmail_helmet;302;;;
chainmail_chestplate;303;;;
chainmail_leggings;304;;;
chainmail_boots;305;;;
iron_helmet;306;;;
iron_chestplate;307;;;
iron_leggings;308;;;
iron_boots;309;;;
diamond_helmet;310;;;
diamond_chestplate;311;;;
diamond_leggings;312;;;
diamond_boots;313;;;
golden_helmet;314;;;
golden_chestplate;315;;;
golden_leggings;316;;;
golden_boots;317;;;
flint;318;;;
porkchop;319;;;
cooked_porkchop;320;;;
painting;321;;;
golden_apple;322;;;
enchanted_golden_apple;322:1;golden_apple;;
oak_sign;323;sign;;
oak_door;324;wooden_door;;
bucket;325;;;
water_bucket;326;;;
lava_bucket;327;;;
minecart;328;;;
saddle;329;;;
iron_door;330;;;
redstone;331;;;
snowball;332;;a1.0.5;
oak_boat;333;boat;a1.0.6;
leather;334;;a1.0.8;
milk_bucket;335;;a1.0.8;
brick;336;;a1.0.11;
clay;337;;a1.0.11;
sugar_cane;338;reeds;a1.0.11;
paper;339;;a1.0.11;
book;340;;a1.0.11;
slime_ball;341;;a1.0.11;
chest_minecart;342;;a1.0.14;
furnace_minecart;343;;a1.0.14;
egg;344;;a1.0.14;
compass;345;;a1.1.0;
fishing_rod;346;;a1.1.1;
clock;347;;a1.2.0;
glowstone_dust;348;;a1.2.0;
cod;349;fish;a1.2.0;
salmon;349:1;fish;1.7.2;cod
clownfish;349:2;fish;1.7.2;cod
pufferfish;349_3;fish;1.7.2;cod
cooked_cod;350;cooked_fish;a1.2.0;
cooked_salmon;350:1;cooked_fish;1.7.2;cooked_cod
ink_sac;351;dye;b1.2;
rose_red;351:1;dye;b1.2;
cactus_green;351:2;dye;b1.2;
cocoa_beans;351:3;dye;b1.2;
lapis_lazuli;351:4;dye;b1.2;
purple_dye;351:5;dye;b1.2;
cyan_dye;351:6;dye;b1.2;
light_gray_dye;351:7;dye;b1.2;
gray_dye;351:8;dye;b1.2;
pink_dye;351:9;dye;b1.2;
lime_dye;351:10;dye;b1.2;
yellow_dye;351:11;dye;b1.2;
light_blue_dye;351:12;dye;b1.2;
magenta_dye;351:13;dye;b1.2;
orange_dye;351:14;dye;b1.2;
bone_meal;351:15;dye;b1.2;
bone;352;;b1.2;
sugar;353;;b1.2;
cake;354;;b1.2;
red_bed;355;bed;b1.2;
repeater;356;;b1.3;
cookie;357;;b1.4;
filled_map;358;map;b1.6;
shears;359;;b1.7;
melon_slice;360;melon;b1.8;
pumpkin_seeds;361;;b1.8;
melon_seeds;362;;b1.8;
beef;363;;b1.8;
cooked_beef;364;;b1.8;
chicken;365;;b1.8;
cooked_chicken;366;;b1.8;
rotten_flesh;367;;b1.8;
ender_pearl;368;;1.0;
blaze_rod;369;;1.0;
ghast_tear;370;;1.0;
gold_nugget;371;;1.0;
nether_wart;372;;1.0;
potion;373;;1.0;
glass_bottle;374;;1.0;
spider_eye;375;;1.0;
fermented_spider_eye;376;;1.0;
blaze_powder;377;;1.0;
magma_cream;378;;1.0;
brewing_stand;379;;1.0;
cauldron;380;;1.0;
ender_eye;381;;1.0;
glistering_melon_slice;382;speckled_melon;1.0;
spawn_egg;383;;1.1;egg
experience_bottle;384;;1.2.1;glass_bottle
fire_charge;385;;1.2.1;
writable_book;386;;1.3.1;
written_book;387;;1.3.1;
emerald;388;;1.3.1;
item_frame;389;;1.4.2;
flower_pot;390;;1.4.2;
carrot;391;;1.4.2;
potato;392;;1.4.2;
